Customer Number,Customer Name,Street Address,City/County,Phone Number,Sales Rep Number,Sales Rep Name,location
1041113,Fantastic Farms,"NO39, Sule Adebayo Suite,Kola Balogun Area Osun Oshogbo",Osun Oshogbo State,8024278077,503,Tope,Osun State
1041116,JCL Farm,Ilora Oyo State,Ilora Oyo State,8035680005,501,Lateef,Ibadan / Oyo
1041117,Molab Farms,Sabo Ija wire Road Oyo Town,Oyo Town,8064851266,5,Peter,Ibadan / Oyo
1041118,G Mama,Gbekuba Apata Ibadan,Ibadan,9030949849,5,Peter,Ibadan / Oyo
1041119,Yellow Little Flower Ent,"15, Abuta Lane Off Nnebisi Road, By Sterling Bank, Asaba",Delta State,8023044559,3,Ian,Delta State
1041121,Nobel Farm Ogun State,Owode Egba Road Ogun Statep,Ogun State,8059527364,503,Tope,Ogun State
1041122,BB Vet,Plot 2/2 Kubwa Abuja,FCT Abuja,8053664179,4,Stephen,Abuja / FCT
1041124,Bimba Farms,Sotubo Sagamu Ogun State,Ogun State,8184711182,503,Tope,Ogun State
1041125,Atriis Fish Farm,Iyana Isashi Ojo Lagos,Lagos,8033270614,508,Mr.Adekunle Damilola,Lagos
1041126,King Veritas Limited,Owode Egba Ogun State,Ogun State,8061164078,503,Tope,Ogun State
1041128,Ekeson Farms,"NO65, Umusadeke Road, Kwale Delta State",Delta State,8037521009,3,Ian,Delta State
1041130,Lawal Iyanda Farm Ltd,Orerokpe Warrior Delta sTATE,Delta State,8034747836,311,Dr.Ogunwemimo Oluwole Leken,Delta State
1041131,Gold Farm,Agwa Kudenda Layout Kaduna,Kaduna State,8028374122,407,Stephen Olushola,Kaduna
1041132,Alkanchi Poultry,Sokoto State,Sokoto State,8035173317,407,Stephen Olushola,Sokoto State
1041133,Felmos Global Resources Limited,Opposite No Idowu Grammar School Olorunda Aba Akobo,Ibadan,8033339515,2000,Raji,Ibadan / Oyo
1041134,Pillar Farm,Owode Egba Ogun State,Ogun State,8038394434,503,Tope,Ogun State
1041135,5Lad Farms Nig Ltd,"Ajenisuwa Road Agric Farm Settlement , Osogbo Osun State",Osun State,80361169905,509,Folorunso Mark Eniola,Osun State
1041136,Ayo Thomas,"Hadejia Road, Opposite NEPA Office Kano State",Kano State,9083711980,407,Stephen Olushola,Kano
1041137,Prof Tukur,Sokoto University Sokoto State,Sokoto State,8035073554,407,Stephen Olushola,Sokoto State
1041138,Dignity Feed,Kaduna State,Kaduna State,8066780011,407,Stephen Olushola,Kaduna
1041139,Oliver Okoro Farm,Orunmu Along Aiyeso Road Ilesa Osun State,Osun State,8129130419,509,Folorunso Mark Eniola,Osun State
1041140,Dios Farms Limited,"Elenusoso , Off Iddo Road Aba Epe Iddo Local Government",Ibadan,8089214029,4,Stephen,Ibadan / Oyo
1041142,Jafel Agro Service,Behind Calaba Filling Station Shagam Ogun State,Ogun State,8139562432,5,Peter,Ogun State
1041143,Gbekemo Farm,Kiyi Layout Koje Abuja,Abuja,8096206106,407,Stephen Olushola,Abuja / FCT
1041144,Awobaja Farm,Koje Abuja,Abuja,8036650233,4,Stephen,Abuja / FCT
1041145,Jumach Nig Ltd,MNA Industry Area Enugu,Enugu State,8096401111,322,Kingsley Ikenna,Enugu
1041146,Lee Fish Farm,Apata Ibadan,Ibadan,8030643939,5,Peter,Ibadan / Oyo
1041148,Makemdam Unique Global Resources,Agbowo UI Road Ibadan,Ibadan,8038619766,5,Peter,Ibadan / Oyo
1041150,Total Farm,Dawaki Abuja,Abuja,8036675821,4,Stephen,Abuja / FCT
1041152,Ade Farm,Soka Abule Ijesha Area Iwo Road Ibadan,Ibadan,8058874265,501,Lateef,Ibadan / Oyo
1041153,IR integreted farm ltd,KM 15 OWERRI ABA RD,OWERI,8139063925,3,Ian,Oweri
1041155,ANDARAI FARM,AIR PORT RD KADUNA,KADUNA,8023892456,4,Stephen,Kaduna
1041156,AWOBAJA FARM,KOJE ABUJA,ABUJA,8036650233,4,Stephen,Abuja / FCT
1041158,Rone Fish Farm,"No16, Piniki Close, Near NNPC Complex Warri, Delta State",Delta State,8033727969,3,Ian,Delta State
1041159,Kellapraise Farm Ltd,"Plot B302, Behind RCCG Triumphant Grace Parish, Airport",Abuja,7037610642,4,Stephen,Abuja / FCT
1041160,Royal Fish Farm,Igbe Road Off Ijede Elepe Ikorodu Lagos,Lagos,8060070467,6,Mr Dayo,Lagos
1041161,Good Value Farm,"NO1, Ameke Road, Old Nsukka Road 9th Miles, Enugu State",Enugu State,8034572091,3,Ian,Enugu
1041162,Daravan Global Resources,"NO51, Isheri Osun Road Ijegun Lagos",Lagos,8034078707,508,Mr.Adekunle Damilola,Lagos
1041164,Akala Farm,Along Gbege Ilorin Road Ogbomsho,Ogbomosho,8086976603,5,Peter,Ogbomosho
1041165,Hatch Field Farms Ltd,"KM2, Old Aba Road Naze, Owerri State",Owerri State,7062078400,3,Ian,Owerri State
1041167,Aytel Nigeria Enterprises,"NO32, Oke Owo Street Owode Ajegunle Ikorodu Road Lagos",Lagos State,8057964100,6,Mr Dayo,Lagos
1041168,His Praise Farm,"Oke Ata Village , Via Ita Oshin Abeokuta Ogun State",Abeokuta Ogun State,8152926342,5,Peter,Ogun State
1041170,Ilabe Farms,Owode Egba Abeokuta Ogun State,Ogun State,8022833433,503,Tope,Ogun State
1041171,F J Farms,Close to Airforce Akobo Ojurin Ibadan Oyo State,Ibadan,8035116160,501,Lateef,Ibadan / Oyo
1041172,Hola foods multiventures,plot 30 block A oluyole ext ring road,ibadan,8100526524,6,Mr Dayo,Ibadan / Oyo
1041174,Life Farms Limited,Amechi Akunanow Enugu State,Enugu State,8064920476,3,Ian,Enugu
1041176,Darma Farm,Katsina State,Katsina State,803274828,407,Stephen Olushola,Katsina State
1041177,Yan Kyaure Farm,Katsina Farm,Katsina Farm,8036149287,407,Stephen Olushola,Katsina Farm
1041178,Farms Empire,Bank Olodo Iwo Road Ibadan,Ibadan,8032053637,5,Peter,Ibadan / Oyo
1041179,Mancchong Intergrated Farm,Godankura Road Abuja State,Abuja State,8033206058,4,Stephen,Abuja / FCT
104118,Medrose Ltd./Oluwole A. Olalekan,"Ibadan, Oyo State",Ibadan,8034014187,2040,Oluwole,Ibadan / Oyo
1041180,Fiwot Farms,"Km5, Oyo-IbadanExpressway Ilora Oyo State",Oyo State,8034349507,5,Peter,Ibadan / Oyo
1041181,Ben Feedmill,Opposite Golf Stadium Abakaliki,Abakaliki Ebonyi State,8033139747,3,Ian,Abakaliki Ebonyi State
1041182,Malele Farms,Dawakin Kudu LGA Opposite Hills & Valley Kano State,Kano State,7034770000,407,Stephen Olushola,Kano
1041183,Jan Farms,Tamburawa Dawakin Kudu LGA Kano State,Kano State,8066699750,407,Stephen Olushola,Kano
1041184,ALBARKA AGRO ALLIED- yola,YOLA - ADAMAWA,YOLA - ADAMAWA,7036018711,407,Stephen Olushola,Yola - Adamawa
1041185,DR. ABASS MUHMD SAL. FARM,"SABON WUSE, MINNA.","SABON WUSE, MINNA, NIGER STATE",9097744119,4,Stephen,"Sabon Wuse, Minna, Niger State"
1041187,FOOD SOLUTIONS LIVESTOCK LTD.,"CARETAKER AREA, OGBOMOSHO, OYO STATE","CARETAKER AREA, OGBOMOSHO, OYO",7089067381,509,Folorunso Mark Eniola,Ibadan / Oyo
1041188,Suprim,Sapele Ogorode Road Ughelli Delta State,Delta State,9032637876,311,Dr.Ogunwemimo Oluwole Leken,Delta State
1041190,Trans Continental Services,KM 1 Aba PH Road Rivers Portharcourt,Rivers State,8033098722,3,Ian,Rivers / PH
1041191,ENE PRINCE FARMS,"4, KANA UDI. L.G.A. ENUGU STATE","4, KANA UDI. L.G.A., ENUGU",8036652727,3,Ian,Enugu
1041192,Adeyeri Farms,Adeyeri Farms Estate Ereke Vilage Off Osiele Abeokuta,Ogun State,8026269713,5,Peter,Ogun State
1041193,L.O Poultry Farm,IDDO LOcal Government Falade Village Ibadan,Ibadan,8034912818,5,Peter,Ibadan / Oyo
1041194,Fisem Intergrated Services,Suite 8&9 Ogooluwa Plaza Opposite NNPC Filling Station,Ibadan,7052548279,2000,Raji,Ibadan / Oyo
1041195,Maiwaina farm agro aliad,kwanar Karfu rd .kano state,kano state,8037055100,407,Stephen Olushola,Kano
1041196,LAVDAM FEEDMILL,13 AKINTUNDE AYENI street ayobo LAGOS,LAGOS,8183930010,6,Mr Dayo,Lagos
1041199,Mospotech Ideals Ltd,"Mechanic Village Besides Taas College Jiboye Area,",Omi Apata Ibadan,8034188695,5,Peter,Ibadan / Oyo
1041200,Rex Poultry Farm,"Km 45, Abakaliki Calabar Road After Army Barracks",Abakaliki State,8085972017,3,Ian,Abakaliki State
1041201,Adenuga Feeds And Farms,Oju- Agemo Via Igbalu Caberigbe Off Ijede Road Or Imota,Lagos State,7065723991,6,Mr Dayo,Lagos
1041202,Ali Poultry Farm,Birnin Yaro Jaji Kaduna State,Kaduna State,8037000413,4,Stephen,Kaduna
1041203,Amaka Farm,Abatete Town Anambra State,Anambra State,8037734178,3,Ian,Anambra State
1041204,Tofamid Farm,"Okpoma Ogoja, Cross River State",Cross River State,8037756622,3,Ian,Cross River State
1041205,Emani Farms Giant Ltd,"Ikot Akpan, Ediene Ikot Obio Imoh Uyo Akwa Ibom State",Akwa Ibom State,8099326111,3,Ian,Akwa Ibom State
1041207,Eboigbe Farm Ltd,"Okpanam Road, Asaba Delta State",Delta State,8063235705,311,Dr.Ogunwemimo Oluwole Leken,Delta State
1041208,Ziks Farm,Kuru Jos South Plateau State,Jos Plateau State,8051656533,4,Stephen,Jos / Plateau
1041210,Mabeni Farm,Lagos Ibadan Expressway Mowe Lagos,Mowe Lagos State,8033361094,503,Tope,Lagos
1041211,Freedom Fisheries,"No4, University Market Road Nsuka Enugu State",Enugu State,8030981419,3,Ian,Enugu
1041212,Mother Hens,"Km7, Abuja Expressway Kaduna State",Kaduna State,70655065891,4,Stephen,Kaduna
1041213,Aderinola Omole Farm,"B203, Okesa Street, Ilesha Osun State",Osun State,8037211232,2000,Raji,Osun State
1041214,Philex Farm,"Berger, Lagos State",Lagos State,9093021847,503,Tope,Lagos
1041215,Alex Farm,"No2, Chukwu Worlu Street, Off East West Roaf,",Port Harcourt Rivers State,8064940291,3,Ian,Rivers / PH
1041216,Kufreoboug Ventures,Odo Lonfa Ijebu -Ode Ogun State,Ogun State,8150764990,6,Mr Dayo,Ogun State
